"Ward","category","n","disciplined","sustained","open","unknown","sd_plus"
25,"First Amendment and Illegal Arrest",153,0,0,3,10,0
25,"Operation/Personnel Violations",279,11,10,4,13,0.0801526717557252
25,"Search-Related",59,1,0,0,5,0.0185185185185185
25,"Supervisory Responsibilities",1,0,0,0,0,0
25,"Traffic",15,0,2,0,0,0.133333333333333
25,"Verbal Abuse",14,1,0,0,0,0.0714285714285714
26,"Alcohol Abuse",1,0,0,0,0,0
26,"Arrest/Lock-up Procedures",111,1,0,0,5,0.00943396226415094
26,"Bribery / Official Corruption",2,0,0,0,1,0
26,"Conduct Unbecoming (Off-duty)",6,0,1,0,0,0.166666666666667
26,"First Amendment and Illegal Arrest",238,0,0,0,19,0
26,"Operation/Personnel Violations",216,4,3,0,23,0.0362694300518135
26,"Search-Related",63,2,0,0,2,0.0327868852459016
26,"Supervisory Responsibilities",4,0,0,0,0,0
26,"Traffic",9,0,0,0,1,0
26,"Verbal Abuse",9,0,0,0,1,0
27,"Alcohol Abuse",3,1,1,0,1,1
27,"Arrest/Lock-up Procedures",253,6,2,0,7,0.032520325203252
27,"Bribery / Official Corruption",3,1,1,0,0,0.666666666666667
27,"Conduct Unbecoming (Off-duty)",28,4,7,0,3,0.44
27,"Criminal Misconduct",1,0,0,0,0,0
27,"First Amendment and Illegal Arrest",398,0,0,3,44,0
27,"Operation/Personnel Violations",440,13,3,2,30,0.0392156862745098
27,"Search-Related",72,1,0,0,3,0.0144927536231884
27,"Supervisory Responsibilities",3,0,0,0,0,0
27,"Traffic",28,0,1,0,0,0.0357142857142857
27,"Verbal Abuse",32,1,0,0,7,0.04
28,"Arrest/Lock-up Procedures",362,4,1,0,13,0.0143266475644699
28,"Bribery / Official Corruption",3,0,0,0,0,0
28,"Conduct Unbecoming (Off-duty)",28,11,2,0,1,0.481481481481481
28,"Criminal Misconduct",4,0,1,0,0,0.25
28,"First Amendment and Illegal Arrest",832,0,0,4,59,0
28,"Operation/Personnel Violations",571,31,16,3,33,0.0878504672897196
28,"Search-Related",114,8,3,2,6,0.10377358490566
28,"Supervisory Responsibilities",8,0,0,0,0,0
28,"Traffic",31,0,0,0,3,0
28,"Verbal Abuse",54,1,0,0,12,0.0238095238095238
29,"Arrest/Lock-up Procedures",148,4,1,0,5,0.034965034965035
29,"Bribery / Official Corruption",3,0,0,0,0,0
29,"Conduct Unbecoming (Off-duty)",7,2,1,0,1,0.5
29,"Criminal Misconduct",1,0,0,0,0,0
29,"First Amendment and Illegal Arrest",311,0,0,0,39,0
29,"Operation/Personnel Violations",261,12,6,0,22,0.0753138075313808
29,"Search-Related",72,6,3,0,8,0.140625
29,"Supervisory Responsibilities",10,1,0,0,0,0.1
29,"Traffic",8,0,0,0,1,0
29,"Verbal Abuse",21,0,0,0,0,0
30,"Arrest/Lock-up Procedures",94,1,1,0,5,0.0224719101123595
30,"Conduct Unbecoming (Off-duty)",6,0,1,0,1,0.2
30,"Criminal Misconduct",1,0,0,0,0,0
30,"Drug/Substance Abuse",1,0,0,0,0,0
30,"First Amendment and Illegal Arrest",138,0,0,0,15,0
30,"Operation/Personnel Violations",235,7,4,1,14,0.05
30,"Search-Related",73,2,2,0,8,0.0615384615384615
30,"Supervisory Responsibilities",4,1,0,0,0,0.25
30,"Traffic",9,0,0,2,0,0
30,"Verbal Abuse",14,0,0,0,1,0
31,"Arrest/Lock-up Procedures",111,1,1,0,4,0.0186915887850467
31,"Bribery / Official Corruption",3,0,0,0,0,0
31,"Conduct Unbecoming (Off-duty)",5,0,1,0,1,0.25
31,"First Amendment and Illegal Arrest",121,0,0,0,14,0
31,"Operation/Personnel Violations",226,8,4,0,14,0.0566037735849057
31,"Search-Related",73,2,2,4,8,0.0655737704918033
31,"Supervisory Responsibilities",4,1,0,0,0,0.25
31,"Traffic",12,0,0,0,0,0
31,"Verbal Abuse",15,0,0,0,0,0
32,"Arrest/Lock-up Procedures",126,1,1,0,6,0.0166666666666667
32,"Bribery / Official Corruption",2,0,0,0,0,0
32,"Conduct Unbecoming (Off-duty)",20,5,6,0,0,0.55
32,"First Amendment and Illegal Arrest",82,0,0,0,12,0
32,"Operation/Personnel Violations",249,8,6,2,16,0.0606060606060606
32,"Search-Related",75,5,2,0,4,0.0985915492957746
32,"Traffic",16,0,0,0,1,0
32,"Verbal Abuse",27,1,0,0,3,0.0416666666666667
33,"Alcohol Abuse",2,0,0,0,0,0
33,"Arrest/Lock-up Procedures",36,2,0,0,2,0.0588235294117647
33,"Conduct Unbecoming (Off-duty)",3,0,0,0,0,0
33,"Criminal Misconduct",2,0,0,0,0,0
33,"Drug/Substance Abuse",1,0,0,0,0,0
33,"First Amendment and Illegal Arrest",64,0,0,0,14,0
33,"Operation/Personnel Violations",75,3,0,1,15,0.0508474576271186
33,"Search-Related",10,0,0,0,2,0
33,"Traffic",3,0,0,0,1,0
33,"Verbal Abuse",5,0,0,0,0,0
34,"Alcohol Abuse",3,1,0,0,0,0.333333333333333
34,"Arrest/Lock-up Procedures",135,2,2,0,10,0.032
34,"Bribery / Official Corruption",2,0,0,0,2,NA
34,"Conduct Unbecoming (Off-duty)",10,2,0,1,2,0.285714285714286
34,"Criminal Misconduct",1,0,0,0,0,0
34,"First Amendment and Illegal Arrest",310,1,0,0,19,0.00343642611683849
34,"Operation/Personnel Violations",287,19,4,2,12,0.0842490842490843
34,"Search-Related",68,2,1,0,27,0.0731707317073171
34,"Supervisory Responsibilities",10,0,0,0,0,0
34,"Traffic",14,0,1,0,1,0.0769230769230769
34,"Verbal Abuse",20,0,0,0,2,0
35,"Alcohol Abuse",2,0,0,0,0,0
35,"Arrest/Lock-up Procedures",90,3,1,0,2,0.0454545454545455
35,"Bribery / Official Corruption",1,0,0,0,1,NA
35,"Conduct Unbecoming (Off-duty)",7,0,1,0,0,0.142857142857143
35,"Criminal Misconduct",1,0,0,0,0,0
35,"Drug/Substance Abuse",1,0,0,0,0,0
35,"First Amendment and Illegal Arrest",160,0,0,0,12,0
35,"Operation/Personnel Violations",163,5,3,0,22,0.0567375886524823
35,"Search-Related",44,1,0,0,6,0.0263157894736842
35,"Supervisory Responsibilities",3,0,0,0,0,0
35,"Traffic",6,0,0,0,2,0
35,"Verbal Abuse",6,0,0,0,0,0
36,"Arrest/Lock-up Procedures",35,3,0,0,0,0.0857142857142857
36,"Conduct Unbecoming (Off-duty)",10,2,1,0,0,0.3
36,"Criminal Misconduct",1,0,0,0,0,0
36,"Drug/Substance Abuse",1,0,0,0,0,0
36,"First Amendment and Illegal Arrest",77,0,0,0,6,0
36,"Operation/Personnel Violations",74,3,2,1,1,0.0694444444444444
36,"Search-Related",15,0,0,0,2,0
36,"Traffic",4,0,0,0,0,0
36,"Verbal Abuse",8,0,0,0,1,0
37,"Arrest/Lock-up Procedures",169,5,0,0,9,0.03125
37,"Bribery / Official Corruption",3,0,0,0,0,0
37,"Conduct Unbecoming (Off-duty)",4,0,0,0,0,0
37,"First Amendment and Illegal Arrest",372,0,0,0,30,0
37,"Operation/Personnel Violations",250,10,4,0,19,0.0606060606060606
37,"Search-Related",82,2,2,4,8,0.0571428571428571
37,"Supervisory Responsibilities",7,1,0,0,0,0.142857142857143
